Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,cek_total,cek_income,total_fix,cek_total_fix
525-09-8450,B,San Francisco,Normal,Male,Electronic accessories,72.13,10,36.065,0.723553412085508,2014-11-22,15:12:00,Credit Card,721.3,4.761904762,36.065,4.2,2014,11,22,False,True,757.365,False
448-61-3783,A,Los Angeles,Normal,Female,Electronic accessories,90.02,8,36.008,0.7223934963320207,2014-11-12,16:08:00,Credit Card,720.16,4.761904762,36.008,4.5,2014,11,12,False,True,756.168,False
635-40-6220,A,Los Angeles,Normal,Male,Health and beauty,89.6,8,35.84,0.7189747972691105,2013-12-27,11:28:00,Ewallet,716.8,4.761904762,35.84,6.6,2013,12,27,False,True,752.64,False
725-96-3778,C,Riverside,Member,Female,Home and lifestyle,89.25,8,35.7,0.7161258813833521,2012-12-07,10:13:00,Cash,714.0,4.761904762,35.7,4.7,2012,12,7,False,True,749.7,False
829-34-3910,A,San Francisco,Normal,Female,Health and beauty,71.38,10,35.69,0.7159223873915121,2011-09-19,19:21:00,Cash,713.8,4.761904762,35.69,5.7,2011,9,19,False,True,749.49,False
803-17-8013,A,Covington,Member,Female,Home and lifestyle,88.79,8,35.516,0.712381591933498,2012-03-24,17:09:00,Cash,710.32,4.761904762,35.516,4.1,2012,3,24,False,True,745.8360000000001,False
537-72-0426,C,San Diego,Member,Male,Fashion accessories,70.99,10,35.495,0.7119542545506342,2011-01-28,16:28:00,Cash,709.9,4.761904762,35.495,5.7,2011,1,28,False,True,745.395,False
155-45-3814,C,San Francisco,Member,Female,Electronic accessories,88.55,8,35.42,0.7104280496118351,2011-07-22,15:29:00,Ewallet,708.4,4.761904762,35.42,4.7,2011,7,22,False,True,743.82,False
394-30-3170,B,Los Angeles,Member,Female,Sports and travel,88.43,8,35.372,0.7094512784510036,2011-08-25,19:35:00,Credit Card,707.44,4.761904762,35.372,4.3,2011,8,25,False,True,742.8120000000001,False
189-98-2939,C,Los Angeles,Normal,Male,Fashion accessories,78.55,9,35.3475,0.7089527181709959,2011-11-03,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,2011,11,3,False,True,742.2975,False
149-71-6266,B,Los Angeles,Member,Male,Sports and travel,78.07,9,35.1315,0.7045572479472542,2012-09-19,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,2012,9,19,False,True,737.7615,False
135-84-8019,A,San Francisco,Normal,Female,Fashion accessories,77.93,9,35.0685,0.7032752357986629,2013-12-19,16:10:00,Ewallet,701.37,4.761904762,35.0685,7.6,2013,12,19,False,True,736.4385000000002,False
148-41-7930,C,Long Beach,Normal,Male,Health and beauty,99.96,7,34.986,0.7015964103659839,2014-01-08,10:33:00,Cash,699.72,4.761904762,34.986,6.1,2014,1,8,False,True,734.7059999999999,False
627-95-3243,B,San Jose,Member,Female,Home and lifestyle,77.68,9,34.956,0.7009859283904641,2014-05-20,13:21:00,Ewallet,699.12,4.761904762,34.956,9.8,2014,5,20,False,True,734.0760000000001,False
183-21-3799,C,San Francisco,Normal,Female,Electronic accessories,77.63,9,34.9335,0.7005280669088244,2011-12-29,15:14:00,Ewallet,698.67,4.761904762,34.9335,7.2,2011,12,29,False,True,733.6034999999999,False
174-64-0215,B,Los Angeles,Normal,Male,Sports and travel,69.74,10,34.87,0.6992358800606411,2011-08-25,17:49:00,Credit Card,697.4,4.761904762,34.87,8.9,2011,8,25,False,True,732.27,False
189-52-0236,A,Los Angeles,Normal,Male,Electronic accessories,99.55,7,34.8425,0.6986762715830814,2013-11-27,12:07:00,Cash,696.85,4.761904762,34.8425,7.6,2013,11,27,False,True,731.6925000000001,False
710-46-4433,B,Denver,Member,Female,Food and beverages,77.4,9,34.83,0.6984219040932815,2014-12-02,14:15:00,Credit Card,696.6,4.761904762,34.83,4.5,2014,12,2,False,True,731.4300000000001,False
435-13-4908,A,Danville,Member,Male,Fashion accessories,86.68,8,34.672,0.6952066990222112,2014-11-03,18:04:00,Credit Card,693.44,4.761904762,34.672,7.2,2014,11,3,False,True,728.1120000000001,False
253-12-6086,A,Seattle,Member,Female,Sports and travel,98.4,7,34.44,0.6904856384115258,2014-01-22,12:43:00,Credit Card,688.8,4.761904762,34.44,8.7,2014,1,22,False,True,723.2400000000001,False
399-46-5918,C,Roseville,Normal,Female,Electronic accessories,85.98,8,34.392,0.6895088672506943,2014-11-17,19:01:00,Cash,687.84,4.761904762,34.392,8.2,2014,11,17,False,True,722.2320000000001,False
898-04-2717,A,Los Angeles,Normal,Male,Fashion accessories,76.4,9,34.38,0.6892646744604864,2011-04-06,15:49:00,Ewallet,687.6,4.761904762,34.38,7.5,2011,4,6,False,True,721.98,False
338-65-2210,C,Los Angeles,Member,Female,Health and beauty,68.6,10,34.3,0.6876367225257672,2012-04-13,19:57:00,Cash,686.0,4.761904762,34.3,9.1,2012,4,13,False,True,720.3000000000001,False
587-03-7455,C,Los Angeles,Member,Female,Fashion accessories,97.79,7,34.2265,0.6861410416857441,2013-06-11,17:30:00,Ewallet,684.53,4.761904762,34.2265,4.9,2013,6,11,False,True,718.7565000000001,False
831-81-6575,B,Los Angeles,Member,Female,Electronic accessories,75.59,9,34.0155,0.6818473184579225,2013-06-27,11:12:00,Cash,680.31,4.761904762,34.0155,8.0,2013,6,27,False,True,714.3255000000001,False
850-41-9669,A,Los Angeles,Normal,Female,Electronic accessories,75.06,9,33.777,0.6769939867525411,2012-01-30,13:25:00,Ewallet,675.54,4.761904762,33.777,6.2,2012,1,30,False,True,709.317,False
189-40-5216,C,Seattle,Normal,Male,Electronic accessories,96.37,7,33.7295,0.6760273902913015,2014-09-24,11:40:00,Cash,674.59,4.761904762,33.7295,6.0,2014,9,24,False,True,708.3195000000001,False
443-59-0061,A,San Diego,Member,Male,Food and beverages,67.45,10,33.725,0.6759358179949736,2012-12-12,11:25:00,Ewallet,674.5,4.761904762,33.725,4.2,2012,12,12,False,True,708.225,False
287-21-9091,A,San Francisco,Normal,Male,Home and lifestyle,74.67,9,33.6015,0.673422667195751,2011-03-30,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,2011,3,30,False,True,705.6315,False
640-49-2076,B,San Francisco,Normal,Male,Sports and travel,83.78,8,33.512,0.6716013959687839,2014-08-15,14:49:00,Cash,670.24,4.761904762,33.512,5.1,2014,8,15,False,True,703.7520000000001,False
616-87-0016,B,Stockton,Normal,Male,Fashion accessories,95.54,7,33.439,0.6701158898283528,2014-12-02,14:36:00,Credit Card,668.78,4.761904762,33.439,9.6,2014,12,2,False,True,702.2190000000002,False
743-88-1662,C,Los Angeles,Normal,Male,Sports and travel,95.49,7,33.4215,0.6697597753426329,2013-09-11,18:17:00,Ewallet,668.43,4.761904762,33.4215,8.7,2013,9,11,False,True,701.8515,False
188-55-0967,B,Gilbert,Member,Male,Health and beauty,66.47,10,33.235,0.6659646123948189,2012-06-15,15:01:00,Credit Card,664.7,4.761904762,33.235,5.0,2012,6,15,False,True,697.9350000000001,False
430-60-3493,A,Los Angeles,Member,Female,Home and lifestyle,94.88,7,33.208,0.6654151786168513,2012-02-29,14:38:00,Cash,664.16,4.761904762,33.208,4.2,2012,2,29,False,True,697.368,False
670-79-6321,B,Mesa,Member,Female,Home and lifestyle,94.59,7,33.1065,0.6633497145996763,2013-11-13,15:27:00,Credit Card,662.13,4.761904762,33.1065,4.9,2013,11,13,False,True,695.2365,False
489-82-1237,A,Seattle,Normal,Female,Electronic accessories,93.88,7,32.858,0.6582928889024551,2014-12-06,11:51:00,Credit Card,657.16,4.761904762,32.858,7.3,2014,12,6,False,True,690.018,False
845-94-6841,C,San Diego,Member,Female,Food and beverages,72.88,9,32.796,0.6570312261530478,2014-11-04,19:38:00,Cash,655.92,4.761904762,32.796,4.0,2014,11,4,False,True,688.716,False
668-90-8900,A,Auburn,Normal,Female,Home and lifestyle,93.69,7,32.7915,0.6569396538567197,2013-11-14,18:44:00,Credit Card,655.83,4.761904762,32.7915,4.5,2013,11,14,False,True,688.6215,False
457-13-1708,B,Louisville,Member,Male,Fashion accessories,65.23,10,32.615,0.6533479849007456,2014-08-22,19:07:00,Credit Card,652.3,4.761904762,32.615,5.2,2014,8,22,False,True,684.9150000000001,False
538-22-0304,C,Mesa,Normal,Male,Electronic accessories,64.95,10,32.475,0.6504990690149872,2013-11-13,18:27:00,Cash,649.5,4.761904762,32.475,5.2,2013,11,13,False,True,681.975,False
222-42-0244,B,Westminster,Member,Female,Health and beauty,72.11,9,32.4495,0.6499801593357954,2014-07-15,13:53:00,Credit Card,648.99,4.761904762,32.4495,7.7,2014,7,15,False,True,681.4395000000001,False
263-12-5321,A,Seattle,Member,Male,Electronic accessories,92.6,7,32.41,0.649176358068028,2012-10-18,12:52:00,Credit Card,648.2,4.761904762,32.41,9.3,2012,10,18,False,True,680.61,False
400-89-4171,C,San Francisco,Normal,Female,Sports and travel,80.97,8,32.388,0.6487286712859802,2013-09-25,13:05:00,Cash,647.76,4.761904762,32.388,9.3,2013,9,25,False,True,680.148,False
612-36-5536,A,Salem,Member,Male,Food and beverages,80.96,8,32.384,0.6486472736892442,2012-03-20,11:12:00,Credit Card,647.68,4.761904762,32.384,7.4,2012,3,20,False,True,680.064,False
149-61-1929,A,San Diego,Normal,Male,Sports and travel,64.19,10,32.095,0.6427662973250714,2013-06-18,14:08:00,Credit Card,641.9,4.761904762,32.095,6.7,2013,6,18,False,True,673.995,False
326-78-5178,C,Los Angeles,Member,Male,Food and beverages,91.4,7,31.99,0.6406296104107525,2014-02-19,10:19:00,Cash,639.8,4.761904762,31.99,9.5,2014,2,19,False,True,671.7900000000001,False
648-83-1321,A,Los Angeles,Member,Male,Home and lifestyle,63.56,10,31.78,0.6363562365821148,2014-09-25,17:59:00,Cash,635.6,4.761904762,31.78,4.3,2014,9,25,False,True,667.38,False
347-72-6115,B,Los Angeles,Member,Female,Sports and travel,90.74,7,31.759,0.635928899199251,2012-12-17,18:03:00,Credit Card,635.18,4.761904762,31.759,6.2,2012,12,17,False,True,666.939,False
394-55-6384,C,Salem,Member,Female,Sports and travel,70.19,9,31.5855,0.6323982784408289,2012-05-08,13:38:00,Cash,631.71,4.761904762,31.5855,6.7,2012,5,8,False,True,663.2955000000001,False
868-06-0466,A,Los Angeles,Member,Male,Electronic accessories,69.58,9,31.311,0.6268123683648239,2012-12-24,19:38:00,Credit Card,626.22,4.761904762,31.311,7.8,2012,12,24,False,True,657.5310000000001,False
836-82-5858,B,Roseville,Member,Male,Health and beauty,69.37,9,31.2165,0.624889350141937,2013-10-14,19:14:00,Ewallet,624.33,4.761904762,31.2165,4.0,2013,10,14,False,True,655.5465,False
189-55-2313,C,Redmond,Normal,Female,Fashion accessories,62.18,10,31.09,0.6223151511451623,2014-09-02,10:33:00,Ewallet,621.8,4.761904762,31.09,6.0,2014,9,2,False,True,652.89,False
796-12-2025,C,Los Angeles,Normal,Male,Fashion accessories,62.12,10,31.06,0.6217046691696426,2013-12-26,16:19:00,Cash,621.2,4.761904762,31.06,5.9,2013,12,26,False,True,652.26,False
849-09-3807,A,San Francisco,Member,Female,Fashion accessories,88.34,7,30.919,0.6188354038847002,2011-11-09,13:28:00,Cash,618.38,4.761904762,30.919,6.6,2011,11,9,False,True,649.299,False
452-04-8808,B,El Cajon,Normal,Male,Electronic accessories,87.08,7,30.478,0.6098613188445611,2013-10-21,15:17:00,Cash,609.56,4.761904762,30.478,5.5,2013,10,21,False,True,640.038,False
632-32-4574,B,Gresham,Normal,Male,Sports and travel,75.92,8,30.368,0.6076228849343221,2013-08-23,14:14:00,Cash,607.36,4.761904762,30.368,5.5,2013,8,23,False,True,637.7280000000001,False
